Exported RQ Study Sample Summary and Well Information,,

Document Name: U7_study_06072012 ,,
Plate Type: ddCt Study,,
User: wittigm,,

Document Information,,

Operator: wittigm,,
Last Modified: Friday, July 06, 2012 11:54:03
Instrument Type: Applied Biosystems 7300 Real-Time PCR System,,

Comments:,,
SDS v1.4,,

Thermal Cycler Profile,,
Stage,Repetitions,Temperature,Time,Ramp Rate,Auto Increment
1,1,50.0 �C,2:00,100,
2,1,95.0 �C,10:00,100,
3,40,95.0 �C,0:15,100,
,,60.0 �C,1:00,100,
2700 Mode,,,,,
Data Collection :  Stage 3 Step 2,,,,,
PCR Volume: 20 �L,,,,,

Calibrator, +,,,,

Endogenous Control, betaActin,,,,

RQ Min/Max Calculation Type,Advanced,,,,
Confidence,95.00%,,,,

Plate,Well ID,Well,Sample,Detector,Task,Ct,Ct Std Err,Avg Ct,Avg dCt,dCt Std Err,ddCt,RQ,RQ Min,RQ Max,Omit,Filtered,Threshold,Auto Ct,Baseline,Start,End
U7_05072012,34,C10,Mock,IL8,Target,19.799,0.011,19.819,2.134,0.034,,,,,,,0.593271,Auto,Auto,5,21
U7_05072012,35,C11,Mock,IL8,Target,19.835,0.011,19.819,2.134,0.034,,,,,,,0.593271,Auto,Auto,5,21
U7_05072012,36,C12,Mock,IL8,Target,19.822,0.011,19.819,2.134,0.034,,,,,,,0.593271,Auto,Auto,5,21
U7_05072012,37,D1,D39 MOI 10,IL8,Target,18.494,0.058,18.396,-0.415,0.083,,,,,,,0.593271,Auto,Auto,5,22
U7_05072012,38,D2,D39 MOI 10,IL8,Target,18.292,0.058,18.396,-0.415,0.083,,,,,,,0.593271,Auto,Auto,5,20
U7_05072012,39,D3,D39 MOI 10,IL8,Target,18.401,0.058,18.396,-0.415,0.083,,,,,,,0.593271,Auto,Auto,5,22
U7_05072012,40,D4,D39 MOI 100,IL8,Target,17.379,0.026,17.42,-2.217,0.087,,,,,,,0.593271,Auto,Auto,5,21
U7_05072012,41,D5,D39 MOI 100,IL8,Target,17.414,0.026,17.42,-2.217,0.087,,,,,,,0.593271,Auto,Auto,5,21
U7_05072012,42,D6,D39 MOI 100,IL8,Target,17.468,0.026,17.42,-2.217,0.087,,,,,,,0.593271,Auto,Auto,5,21
U7_05072012,43,D7,dPLY MOI 10,IL8,Target,16.654,0.021,16.623,-1.467,0.04,,,,,,,0.593271,Auto,Auto,5,23
U7_05072012,44,D8,dPLY MOI 10,IL8,Target,16.632,0.021,16.623,-1.467,0.04,,,,,,,0.593271,Auto,Auto,5,23
U7_05072012,45,D9,dPLY MOI 10,IL8,Target,16.582,0.021,16.623,-1.467,0.04,,,,,,,0.593271,Auto,Auto,5,22
U7_05072012,46,D10,dPLY MOI 100,IL8,Target,15.72,0.029,15.755,-2.861,0.029,,,,,,,0.593271,Auto,Auto,5,22
U7_05072012,47,D11,dPLY MOI 100,IL8,Target,15.734,0.029,15.755,-2.861,0.029,,,,,,,0.593271,Auto,Auto,5,22
U7_05072012,48,D12,dPLY MOI 100,IL8,Target,15.812,0.029,15.755,-2.861,0.029,,,,,,,0.593271,Auto,Auto,5,22
U7_05072012,49,E1,dCPS MOI 10,IL8,Target,18,0.061,17.886,-1.818,0.073,,,,,,,0.408221,Auto,Auto,5,12
U7_05072012,50,E2,dCPS MOI 10,IL8,Target,17.792,0.061,17.886,-1.818,0.073,,,,,,,0.408221,Auto,Auto,5,11
U7_05072012,51,E3,dCPS MOI 10,IL8,Target,17.867,0.061,17.886,-1.818,0.073,,,,,,,0.408221,Auto,Auto,5,12
U7_05072012,52,E4,dCPS MOI 100,IL8,Target,20.46,0.013,20.436,-2.699,0.016,,,,,,,0.408221,Auto,Auto,5,13
U7_05072012,53,E5,dCPS MOI 100,IL8,Target,20.435,0.013,20.436,-2.699,0.016,,,,,,,0.408221,Auto,Auto,5,13
U7_05072012,54,E6,dCPS MOI 100,IL8,Target,20.413,0.013,20.436,-2.699,0.016,,,,,,,0.408221,Auto,Auto,5,13
U7_05072012,55,E7,dd MOI 10,IL8,Target,15.911,0.073,15.987,-2.092,0.086,,,,,,,0.408221,Auto,Auto,5,11
U7_05072012,56,E8,dd MOI 10,IL8,Target,15.918,0.073,15.987,-2.092,0.086,,,,,,,0.408221,Auto,Auto,5,11
U7_05072012,57,E9,dd MOI 10,IL8,Target,16.133,0.073,15.987,-2.092,0.086,,,,,,,0.408221,Auto,Auto,5,11
U7_05072012,58,E10,dd MOI 100,IL8,Target,17.313,0.033,17.294,-3.958,0.089,,,,,,,0.408221,Auto,Auto,5,12
U7_05072012,59,E11,dd MOI 100,IL8,Target,17.23,0.033,17.294,-3.958,0.089,,,,,,,0.408221,Auto,Auto,5,12
U7_05072012,60,E12,dd MOI 100,IL8,Target,17.34,0.033,17.294,-3.958,0.089,,,,,,,0.408221,Auto,Auto,5,35
U7_05072012,61,F1,D39 MOI 10,DEFB2,Target,Undet.,,,,,,,,,,,0.408221,Auto,Auto,5,13
U7_05072012,62,F2,D39 MOI 10,DEFB2,Target,Undet.,,,,,,,,,,,0.408221,Auto,Auto,5,13
U7_05072012,63,F3,D39 MOI 10,DEFB2,Target,Undet.,,,,,,,,,,,0.408221,Auto,Auto,5,14
U7_05072012,64,F4,D39 MOI 100,DEFB2,Target,Undet.,,,,,,,,,,,0.408221,Auto,Auto,5,17
U7_05072012,65,F5,D39 MOI 100,DEFB2,Target,Undet.,,,,,,,,,,,0.408221,Auto,Auto,5,17
U7_05072012,66,F6,D39 MOI 100,DEFB2,Target,Undet.,,,,,,,,,,,0.408221,Auto,Auto,5,16
U7_05072012,67,F7,dPLY MOI 10,DEFB2,Target,Undet.,,,,,,,,,,,0.408221,Auto,Auto,5,12
U7_05072012,68,F8,dPLY MOI 10,DEFB2,Target,Undet.,,,,,,,,,,,0.408221,Auto,Auto,5,11
U7_05072012,69,F9,dPLY MOI 10,DEFB2,Target,Undet.,,,,,,,,,,,0.408221,Auto,Auto,5,11
U7_05072012,70,F10,dPLY MOI 100,DEFB2,Target,37.524,0.453,36.709,18.093,0.453,,,,,,,0.408221,Auto,Auto,5,14
U7_05072012,71,F11,dPLY MOI 100,DEFB2,Target,36.645,0.453,36.709,18.093,0.453,,,,,,,0.408221,Auto,Auto,5,15
U7_05072012,72,F12,dPLY MOI 100,DEFB2,Target,35.958,0.453,36.709,18.093,0.453,,,,,,,0.408221,Auto,Auto,5,15
U7_05072012,73,G1,dCPS MOI 10,DEFB2,Target,Undet.,,,,,,,,,,,0.408221,Auto,Auto,5,12
U7_05072012,74,G2,dCPS MOI 10,DEFB2,Target,Undet.,,,,,,,,,,,0.408221,Auto,Auto,5,11
U7_05072012,75,G3,dCPS MOI 10,DEFB2,Target,Undet.,,,,,,,,,,,0.408221,Auto,Auto,5,11
U7_05072012,76,G4,dCPS MOI 100,DEFB2,Target,Undet.,,,,,,,,,,,0.408221,Auto,Auto,5,11
U7_05072012,77,G5,dCPS MOI 100,DEFB2,Target,Undet.,,,,,,,,,,,0.408221,Auto,Auto,5,11
U7_05072012,78,G6,dCPS MOI 100,DEFB2,Target,Undet.,,,,,,,,,,,0.408221,Auto,Auto,5,39
U7_05072012,79,G7,dd MOI 10,DEFB2,Target,36.179,0.538,36.717,18.638,0.54,0,1,0.788,1.268,,,0.78893,Auto,Auto,3,9
U7_05072012,80,G8,dd MOI 10,DEFB2,Target,37.256,0.538,36.717,18.638,0.54,0,1,0.788,1.268,,,0.78893,Auto,Auto,3,9
U7_05072012,81,G9,dd MOI 10,DEFB2,Target,Undet.,,36.717,18.638,0.54,0,1,0.788,1.268,,,0.78893,Auto,Auto,5,10
U7_05072012,82,G10,dd MOI 100,DEFB2,Target,Undet.,,37.357,16.105,,3.255,0.105,0.097,0.113,,,0.78893,Auto,Auto,5,13
U7_05072012,83,G11,dd MOI 100,DEFB2,Target,Undet.,,37.357,16.105,,3.255,0.105,0.097,0.113,,,0.78893,Auto,Auto,5,13
U7_05072012,84,G12,dd MOI 100,DEFB2,Target,37.357,,37.357,16.105,,3.255,0.105,0.097,0.113,,,0.78893,Auto,Auto,5,12
U7_05072012,85,H1,+,DEFB2,Target,Undet.,,,,,0.706,0.613,0.523,0.719,,,0.78893,Auto,Auto,5,10
U7_05072012,86,H2,+,DEFB2,Target,Undet.,,,,,0.706,0.613,0.523,0.719,,,0.78893,Auto,Auto,5,10
U7_05072012,87,H3,+,DEFB2,Target,Undet.,,,,,0.706,0.613,0.523,0.719,,,0.78893,Auto,Auto,5,12
U7_05072012,88,H4,Mock,DEFB2,Target,36.08,0.306,35.774,18.089,0.308,-1.096,2.138,1.809,2.526,,,0.78893,Auto,Auto,3,9
U7_05072012,89,H5,Mock,DEFB2,Target,Undet.,,35.774,18.089,0.308,-1.096,2.138,1.809,2.526,,,0.78893,Auto,Auto,5,10
U7_05072012,90,H6,Mock,DEFB2,Target,35.467,0.306,35.774,18.089,0.308,-1.096,2.138,1.809,2.526,,,0.78893,Auto,Auto,5,11
